id,name,code
store_C01,Roxy,C01
store_C02,Cempaka,C02
store_C03,Mangga Dua,C03
store_C04,Senen,C04
store_C05,Pasar Baru Bandung,C05
store_C06,Season City,C06
store_C07,Tanah Abang,C07
store_C08,Pademangan,C08
store_C09,ITC Surabaya,C09
store_C10,Kuningan,C10
store_C12,Thamrin City,C12
store_C15,JOG Seturan,C15
store_C16,BDO Pasar Andir,C16
store_C17,CGU Mangga Dua Square,C17
store_C18,LTC Glodok,C18
store_C20,Mega Bekasi,C20
store_C23,CGU Greenbay,C23
store_C24,DPS Krisna,C24
